,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,is_valid,continent
3864,6046,1965-11-21,Côte_d'Ivoire,Senegal,1.0,0.0,African_Cup_of_Nations,Tunis,Tunisia,1.0,1.0,1965,True,Africa
3865,6048,1965-11-21,Romania,Portugal,2.0,0.0,FIFA_World_Cup_qualification,Bucharest,Romania,0.0,1.0,1965,True,Europe
3866,6049,1965-11-21,Tunisia,Ghana,2.0,3.0,African_Cup_of_Nations,Tunis,Tunisia,0.0,2.0,1965,True,Africa
3867,6050,1965-11-22,St._Vincent_/_Grenadines,St._Lucia,1.0,2.0,Windward_Islands_Tournament,Kingstown,St._Vincent_/_Grenadines,0.0,2.0,1965,True,America
3868,6051,1965-11-23,Congo,Côte_d'Ivoire,0.0,1.0,Friendly,Brazzaville,Congo,0.0,2.0,1965,True,Africa
3869,6052,1965-11-23,Dominica,St._Lucia,1.0,0.0,Windward_Islands_Tournament,Kingstown,St._Vincent_/_Grenadines,1.0,1.0,1965,True,America
3870,6053,1965-11-24,Albania,Northern_Ireland,1.0,1.0,FIFA_World_Cup_qualification,Tirana,Albania,0.0,0.0,1965,True,Europe
3871,6054,1965-11-24,Australia,Korea_DPR,1.0,3.0,FIFA_World_Cup_qualification,Phnom_Penh,Cambodia,1.0,2.0,1965,True,Asia
3872,6056,1965-11-25,Côte_d'Ivoire,Mali,1.0,3.0,Friendly,Brazzaville,Congo,1.0,2.0,1965,True,Africa
3873,6057,1965-11-26,Cambodia,Australia,0.0,0.0,Friendly,Phnom_Penh,Cambodia,0.0,0.0,1965,True,Asia
3874,6058,1965-11-26,St._Vincent_/_Grenadines,Dominica,3.0,1.0,Windward_Islands_Tournament,Kingstown,St._Vincent_/_Grenadines,0.0,1.0,1965,True,America
3875,6059,1965-11-29,Hong_Kong,Australia,1.0,0.0,Friendly,So_Kon_Po,Hong_Kong,0.0,1.0,1965,True,Asia
3876,6060,1965-12-01,Argentina,Russia,1.0,1.0,Friendly,Buenos_Aires,Argentina,0.0,0.0,1965,True,America
3877,6063,1965-12-04,Uruguay,Russia,1.0,3.0,Friendly,Montevideo,Uruguay,0.0,2.0,1965,True,America
3878,6064,1965-12-05,Hong_Kong,Singapore,0.0,0.0,Friendly,So_Kon_Po,Hong_Kong,0.0,0.0,1965,True,Asia
3879,6065,1965-12-07,Hong_Kong,Singapore,1.0,2.0,Friendly,So_Kon_Po,Hong_Kong,0.0,2.0,1965,True,Asia
3880,6066,1965-12-07,Italy,Scotland,3.0,0.0,FIFA_World_Cup_qualification,Naples,Italy,0.0,1.0,1965,True,Europe
3881,6067,1965-12-07,Malaysia,Australia,0.0,1.0,Friendly,Ipoh,Malaysia,0.0,2.0,1965,True,Asia
3882,6068,1965-12-08,Malaysia,Australia,0.0,3.0,Friendly,Ipoh,Malaysia,0.0,2.0,1965,True,Asia
3883,6069,1965-12-08,Spain,England,0.0,2.0,Friendly,Madrid,Spain,0.0,2.0,1965,True,Europe
3884,6071,1965-12-11,Nigeria,Benin,0.0,1.0,Friendly,Lagos,Nigeria,0.0,2.0,1965,True,Africa
3885,6072,1965-12-13,Kenya,Ghana,3.0,3.0,Friendly,Nairobi,Kenya,0.0,0.0,1965,True,Africa
3886,6073,1965-12-28,Bermuda,Jamaica,0.0,3.0,Friendly,Hamilton,Bermuda,0.0,2.0,1965,True,America
3887,6074,1965-12-29,Belgium,Bulgaria,1.0,2.0,FIFA_World_Cup_qualification,Florence,Italy,1.0,2.0,1965,True,Europe
3888,6075,1966-01-05,England,Poland,1.0,1.0,Friendly,Liverpool,England,0.0,0.0,1966,True,Europe
3889,6076,1966-02-08,Panama,Nicaragua,3.0,1.0,Friendly,Panama_City,Panama,0.0,1.0,1966,True,America
3890,6077,1966-02-13,Malta,Libya,1.0,0.0,Friendly,Gżira,Malta,0.0,1.0,1966,True,Europe
3891,6078,1966-02-23,Chile,Russia,0.0,2.0,Friendly,Santiago,Chile,0.0,2.0,1966,True,America
3892,6079,1966-02-23,England,Germany,1.0,0.0,Friendly,London,England,0.0,1.0,1966,True,Europe
3893,6080,1966-02-25,Egypt,Bulgaria,2.0,2.0,Friendly,Cairo,Egypt,0.0,0.0,1966,True,Africa
3894,6082,1966-02-27,Niger,Congo_DR,2.0,1.0,Friendly,Niamey,Niger,0.0,1.0,1966,True,Africa
3895,6083,1966-02-28,Panama,Guatemala,0.0,1.0,Friendly,Panama_City,Panama,0.0,2.0,1966,True,America
3896,6084,1966-03-05,Uganda,Kenya,2.0,3.0,Friendly,Kampala,Uganda,0.0,2.0,1966,True,Africa
3897,6086,1966-03-06,Morocco,Algeria,1.0,0.0,Friendly,Casablanca,Morocco,0.0,1.0,1966,True,Africa
3898,6087,1966-03-06,Togo,Nigeria,2.0,2.0,Friendly,Lomé,Togo,0.0,0.0,1966,True,Africa
3899,6089,1966-03-14,Libya,Iraq,0.0,2.0,Friendly,Tripoli,Libya,0.0,2.0,1966,True,Africa
3900,6090,1966-03-16,IR_Iran,Turkey,0.0,0.0,Friendly,Teheran,IR_Iran,0.0,0.0,1966,True,Asia
3901,6091,1966-03-18,Iraq,Morocco,0.0,1.0,Friendly,Tripoli,Libya,1.0,2.0,1966,True,Africa
3902,6092,1966-03-19,France,Italy,0.0,0.0,Friendly,Paris,France,0.0,0.0,1966,True,Europe
3903,6093,1966-03-19,Iraq,Morocco,1.0,2.0,Friendly,Tripoli,Libya,1.0,2.0,1966,True,Africa
3904,6094,1966-03-23,Netherlands,Germany,2.0,4.0,Friendly,Rotterdam,Netherlands,0.0,2.0,1966,True,Europe
3905,6095,1966-03-25,Panama,El_Salvador,1.0,0.0,Friendly,Panama_City,Panama,0.0,1.0,1966,True,America
3906,6096,1966-03-27,Libya,Malta,0.0,1.0,Friendly,Tripoli,Libya,0.0,2.0,1966,True,Africa
3907,6097,1966-03-30,Wales,Northern_Ireland,1.0,4.0,British_Championship,Cardiff,Wales,0.0,2.0,1966,True,Europe
3908,6099,1966-04-01,Iraq,Lebanon,0.0,0.0,UAFA_Cup,Baghdad,Iraq,0.0,0.0,1966,True,Asia
3909,6100,1966-04-01,Montenegro,Russia,0.0,1.0,Friendly,Titograd,Yugoslavia,0.0,2.0,1966,True,Europe
3910,6101,1966-04-02,Libya,Palestine,0.0,0.0,UAFA_Cup,Baghdad,Iraq,1.0,0.0,1966,True,Asia
3911,6102,1966-04-02,Scotland,England,3.0,4.0,British_Championship,Glasgow,Scotland,0.0,2.0,1966,True,Europe
3912,6105,1966-04-03,Iraq,Jordan,2.0,1.0,UAFA_Cup,Baghdad,Iraq,0.0,1.0,1966,True,Asia
3913,6106,1966-04-03,Kenya,Uganda,3.0,3.0,Friendly,Nairobi,Kenya,0.0,0.0,1966,True,Africa
3914,6107,1966-04-04,Libya,Syria,0.0,0.0,UAFA_Cup,Baghdad,Iraq,1.0,0.0,1966,True,Asia
3915,6109,1966-04-05,Iraq,Kuwait,3.0,1.0,UAFA_Cup,Baghdad,Iraq,0.0,1.0,1966,True,Asia
3916,6110,1966-04-05,Jordan,Lebanon,1.0,2.0,UAFA_Cup,Baghdad,Iraq,1.0,2.0,1966,True,Asia
3917,6113,1966-04-06,Palestine,Syria,1.0,3.0,UAFA_Cup,Baghdad,Iraq,1.0,2.0,1966,True,Asia
3918,6115,1966-04-07,Jordan,Kuwait,2.0,2.0,UAFA_Cup,Baghdad,Iraq,1.0,0.0,1966,True,Asia
3919,6116,1966-04-08,Iraq,Libya,3.0,1.0,UAFA_Cup,Baghdad,Iraq,0.0,1.0,1966,True,Asia
3920,6117,1966-04-08,Lebanon,Syria,0.0,1.0,UAFA_Cup,Baghdad,Iraq,1.0,2.0,1966,True,Asia
3921,6118,1966-04-09,Bahrain,Jordan,1.0,2.0,UAFA_Cup,Baghdad,Iraq,1.0,2.0,1966,True,Asia
3922,6119,1966-04-09,Kuwait,Lebanon,1.0,2.0,UAFA_Cup,Baghdad,Iraq,1.0,2.0,1966,True,Asia
3923,6120,1966-04-09,Nigeria,Togo,1.0,1.0,Friendly,Lagos,Nigeria,0.0,0.0,1966,True,Africa
3924,6122,1966-04-10,Iraq,Syria,2.0,1.0,UAFA_Cup,Baghdad,Iraq,0.0,1.0,1966,True,Asia
3925,6124,1966-04-17,Chile,Brazil,0.0,1.0,Copa_Bernardo_O'Higgins,Santiago,Chile,0.0,2.0,1966,True,America
3926,6125,1966-04-17,Netherlands,Belgium,3.0,1.0,Friendly,Rotterdam,Netherlands,0.0,1.0,1966,True,Europe
3927,6126,1966-04-20,Chile,Brazil,2.0,1.0,Copa_Bernardo_O'Higgins,Viña_del_Mar,Chile,0.0,1.0,1966,True,America
3928,6127,1966-04-20,France,Belgium,0.0,3.0,Friendly,Paris,France,0.0,2.0,1966,True,Europe
3929,6128,1966-04-20,Switzerland,Russia,2.0,2.0,Friendly,Basel,Switzerland,0.0,0.0,1966,True,Europe
3930,6129,1966-04-24,Austria,Russia,0.0,1.0,Friendly,Vienna,Austria,0.0,2.0,1966,True,Europe
