home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year
Italy,Paraguay,2,0,FIFA World Cup,São Paulo,Brazil,True,H,Sunday,July,1950
Mexico,Switzerland,1,2,FIFA World Cup,Porto Alegre,Brazil,True,A,Sunday,July,1950
South Africa,Australia,1,2,Friendly,Port Elizabeth,South Africa,False,A,Saturday,July,1950
Brazil,Sweden,7,1,FIFA World Cup,Rio de Janeiro,Brazil,False,H,Sunday,July,1950
Spain,Uruguay,2,2,FIFA World Cup,São Paulo,Brazil,True,D,Sunday,July,1950
Madagascar,Réunion,2,3,Friendly,Antananarivo,Madagascar,False,A,Tuesday,July,1950
Madagascar,Mauritius,1,5,Friendly,Antananarivo,Madagascar,False,A,Tuesday,July,1950
Brazil,Spain,6,1,FIFA World Cup,Rio de Janeiro,Brazil,False,H,Thursday,July,1950
Sweden,Uruguay,2,3,FIFA World Cup,São Paulo,Brazil,True,A,Thursday,July,1950
Brazil,Uruguay,1,2,FIFA World Cup,Rio de Janeiro,Brazil,False,A,Sunday,July,1950
Spain,Sweden,1,3,FIFA World Cup,São Paulo,Brazil,True,A,Sunday,July,1950
Zambia,Zimbabwe,3,2,Friendly,Kitwe,Northern Rhodesia,False,H,Sunday,July,1950
South Africa,Australia,0,2,Friendly,Cape Town,South Africa,False,A,Sunday,July,1950
Norway,Luxembourg,2,2,Friendly,Bergen,Norway,False,D,Tuesday,August,1950
Bulgaria,Czechoslovakia,1,2,Friendly,Sofia,Bulgaria,False,A,Sunday,August,1950
Finland,Denmark,1,2,Nordic Championship,Helsinki,Finland,False,A,Sunday,August,1950
Suriname,Guyana,0,1,Friendly,Paramaribo,Suriname,False,A,Sunday,August,1950
Suriname,Guyana,3,0,Friendly,Paramaribo,Suriname,False,H,Thursday,August,1950
El Salvador,Guatemala,2,1,Friendly,Willemstad,Netherlands Antilles,True,H,Saturday,September,1950
Suriname,Guyana,4,1,Friendly,Paramaribo,Suriname,False,H,Sunday,September,1950
Sweden,Yugoslavia,1,2,Friendly,Solna,Sweden,False,A,Sunday,September,1950
El Salvador,Guatemala,2,0,Friendly,Willemstad,Netherlands Antilles,True,H,Wednesday,September,1950
Finland,Yugoslavia,3,2,Friendly,Helsinki,Finland,False,H,Thursday,September,1950
Denmark,Yugoslavia,1,4,Friendly,Copenhagen,Denmark,False,A,Sunday,September,1950
Norway,Finland,4,1,Nordic Championship,Oslo,Norway,False,H,Sunday,September,1950
Finland,Sweden,0,1,Nordic Championship,Helsinki,Finland,False,A,Sunday,September,1950
Hungary,Albania,12,0,Friendly,Budapest,Hungary,False,H,Sunday,September,1950
Norway,Sweden,1,3,Nordic Championship,Oslo,Norway,False,A,Sunday,September,1950
Northern Ireland,England,1,4,British Championship,Belfast,Northern Ireland,False,A,Saturday,October,1950
Austria,Yugoslavia,7,2,Friendly,Vienna,Austria,False,H,Sunday,October,1950
Romania,Albania,6,0,Friendly,Bucharest,Romania,False,H,Sunday,October,1950
Tanzania,Zanzibar,4,0,Friendly,Nairobi,Kenya,True,H,Tuesday,October,1950
Kenya,Uganda,3,1,Friendly,Nairobi,Kenya,False,H,Wednesday,October,1950
Jamaica,Haiti,2,1,Friendly,Kingston,Jamaica,False,H,Saturday,October,1950
Kenya,Tanzania,1,1,Friendly,Nairobi,Kenya,False,D,Saturday,October,1950
Sweden,Denmark,4,0,Nordic Championship,Solna,Sweden,False,H,Sunday,October,1950
Switzerland,Netherlands,7,5,Friendly,Basel,Switzerland,False,H,Sunday,October,1950
Kenya,Tanzania,1,2,Friendly,Nairobi,Kenya,False,A,Monday,October,1950
Wales,Scotland,1,3,British Championship,Cardiff,Wales,False,A,Saturday,October,1950
Poland,Czechoslovakia,1,4,Friendly,Warsaw,Poland,False,A,Sunday,October,1950
Iran,Afghanistan,4,0,Friendly,Teheran,Iran,False,H,Thursday,October,1950
Israel,Turkey,5,1,Friendly,Tel Aviv,Israel,False,H,Saturday,October,1950
Hungary,Austria,4,3,Friendly,Budapest,Hungary,False,H,Sunday,October,1950
Bulgaria,Poland,0,1,Friendly,Sofia,Bulgaria,False,A,Monday,October,1950
France,Belgium,3,3,Friendly,Colombes,France,False,D,Wednesday,November,1950
Scotland,Northern Ireland,6,1,British Championship,Glasgow,Scotland,False,H,Wednesday,November,1950
Austria,Denmark,5,1,Friendly,Vienna,Austria,False,H,Sunday,November,1950
Yugoslavia,Norway,4,0,Friendly,Belgrade,Yugoslavia,False,H,Sunday,November,1950
Belgium,Netherlands,7,2,Friendly,Antwerp,Belgium,False,H,Sunday,November,1950
Bulgaria,Hungary,1,1,Friendly,Sofia,Bulgaria,False,D,Sunday,November,1950
Switzerland,Sweden,4,2,Friendly,Geneva,Switzerland,False,H,Sunday,November,1950
England,Wales,4,2,British Championship,Sunderland,England,False,H,Wednesday,November,1950
Curaçao,Suriname,2,3,Friendly,Port of Spain,Trinidad and Tobago,True,A,Saturday,November,1950
England,Yugoslavia,2,2,Friendly,London,England,False,D,Wednesday,November,1950
Germany,Switzerland,1,0,Friendly,Stuttgart,Germany,False,H,Wednesday,November,1950
Trinidad and Tobago,Curaçao,3,2,Friendly,Port of Spain,Trinidad and Tobago,False,H,Wednesday,November,1950
Trinidad and Tobago,Suriname,5,0,Friendly,Port of Spain,Trinidad and Tobago,False,H,Saturday,November,1950
Republic of Ireland,Norway,2,2,Friendly,Dublin,Republic of Ireland,False,D,Sunday,November,1950
Curaçao,Suriname,3,0,Friendly,Port of Spain,Trinidad and Tobago,True,H,Tuesday,November,1950
Trinidad and Tobago,Suriname,1,1,Friendly,Port of Spain,Trinidad and Tobago,False,D,Thursday,November,1950
Trinidad and Tobago,Curaçao,5,1,Friendly,Port of Spain,Trinidad and Tobago,False,H,Saturday,December,1950
Turkey,Israel,3,2,Friendly,Istanbul,Turkey,False,H,Sunday,December,1950
Guadeloupe,Trinidad and Tobago,0,1,Friendly,Basse-Terre,Guadeloupe,False,A,Tuesday,December,1950
France,Netherlands,5,2,Friendly,Colombes,France,False,H,Sunday,December,1950
Scotland,Austria,0,1,Friendly,Glasgow,Scotland,False,A,Wednesday,December,1950
France,Yugoslavia,2,1,Friendly,Paris,France,False,H,Tuesday,February,1951
