,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year
6587,Hong Kong,Taiwan,2.0,4.0,Merdeka Tournament,Malaysia,True,Away,1967
6588,Malaysia,Vietnam Republic,1.0,2.0,Merdeka Tournament,Malaysia,False,Away,1967
6589,Burma,Korea Republic,0.0,0.0,Merdeka Tournament,Malaysia,True,Draw,1967
6590,India,Indonesia,0.0,3.0,Merdeka Tournament,Malaysia,True,Away,1967
6591,Singapore,Vietnam Republic,1.0,0.0,Friendly,Singapore,False,Home,1967
6592,Russia,Finland,2.0,0.0,UEFA Euro qualification,Soviet Union,False,Home,1967
6593,Congo DR,Ghana,0.0,2.0,Friendly,Congo DR,False,Away,1967
6594,Norway,Sweden,3.0,1.0,UEFA Euro qualification,Norway,False,Home,1967
6595,Austria,Hungary,1.0,3.0,Friendly,Austria,False,Away,1967
6596,Finland,Russia,2.0,5.0,UEFA Euro qualification,Finland,False,Away,1967
6597,Netherlands,German DR,1.0,0.0,UEFA Euro qualification,Netherlands,False,Home,1967
6598,Congo DR,Tanzania,1.0,0.0,African Cup of Nations qualification,Congo DR,False,Home,1967
6599,Poland,France,1.0,4.0,UEFA Euro qualification,Poland,False,Away,1967
6600,Chile,Brazil,0.0,1.0,Friendly,Chile,False,Away,1967
6601,Austria,Finland,2.0,1.0,UEFA Euro qualification,Austria,False,Home,1967
6602,Norway,Denmark,0.0,5.0,Nordic Championship,Norway,False,Away,1967
6603,Germany,France,5.0,1.0,Friendly,Germany,False,Home,1967
6604,Hungary,German DR,3.0,1.0,UEFA Euro qualification,Hungary,False,Home,1967
6605,Mali,Burkina Faso,4.0,0.0,African Cup of Nations qualification,Mali,False,Home,1967
6606,Ghana,Nigeria,1.0,1.0,Friendly,Ghana,False,Draw,1967
6607,Kenya,Uganda,3.0,1.0,Friendly,Kenya,False,Home,1967
6608,Czechoslovakia,Spain,1.0,0.0,UEFA Euro qualification,Czechoslovakia,False,Home,1967
6609,Ghana,Burkina Faso,5.0,2.0,Friendly,Ghana,False,Home,1967
6610,Russia,Switzerland,2.0,2.0,Friendly,Soviet Union,False,Draw,1967
6611,Tanzania,Uganda,1.0,2.0,Friendly,Kenya,True,Away,1967
6612,Denmark,Netherlands,3.0,2.0,UEFA Euro qualification,Denmark,False,Home,1967
6613,Greece,Austria,4.0,1.0,UEFA Euro qualification,Greece,False,Home,1967
6614,Kenya,Zanzibar,6.0,0.0,Friendly,Kenya,False,Home,1967
6615,Trinidad and Tobago,Martinique,2.0,2.0,Friendly,Trinidad and Tobago,False,Draw,1967
6616,Uganda,Zanzibar,2.0,0.0,Friendly,Kenya,True,Home,1967
6617,Germany,Yugoslavia,3.0,1.0,UEFA Euro qualification,Germany,False,Home,1967
6618,Singapore,Hong Kong,4.0,0.0,Friendly,Singapore,False,Home,1967
6619,Belgium,Poland,2.0,4.0,UEFA Euro qualification,Belgium,False,Away,1967
6620,Bulgaria,Russia,1.0,2.0,Friendly,Bulgaria,False,Away,1967
6621,Kenya,Tanzania,5.0,3.0,Friendly,Kenya,False,Home,1967
6622,El Salvador,Haiti,2.0,0.0,Friendly,El Salvador,False,Home,1967
6623,Tanzania,Zanzibar,0.0,3.0,Friendly,Kenya,True,Away,1967
6624,German DR,Denmark,3.0,2.0,UEFA Euro qualification,German DR,False,Home,1967
6625,Paraguay,Argentina,1.0,1.0,Friendly,Paraguay,False,Draw,1967
6626,Tanzania,Congo DR,0.0,1.0,African Cup of Nations qualification,Tanzania,False,Away,1967
6627,Sierra Leone,Nigeria,1.0,1.0,Friendly,Sierra Leone,False,Draw,1967
6628,Austria,Russia,1.0,0.0,UEFA Euro qualification,Austria,False,Home,1967
6629,Liberia,Congo DR,1.0,4.0,Friendly,Liberia,False,Away,1967
6630,Ghana,Nigeria,2.0,1.0,Friendly,Ghana,False,Home,1967
6631,Northern Ireland,Scotland,1.0,0.0,UEFA Euro qualification,Northern Ireland,False,Home,1967
6632,Wales,England,0.0,3.0,UEFA Euro qualification,Wales,False,Away,1967
6633,Denmark,Finland,3.0,0.0,Nordic Championship,Denmark,False,Home,1967
6634,Guatemala,El Salvador,1.0,0.0,Friendly,Guatemala,False,Home,1967
6635,Spain,Czechoslovakia,2.0,1.0,UEFA Euro qualification,Spain,False,Home,1967
6636,Trinidad and Tobago,Martinique,3.0,2.0,Friendly,Trinidad and Tobago,False,Home,1967
6637,France,Belgium,1.0,1.0,UEFA Euro qualification,France,False,Draw,1967
6638,El Salvador,Costa Rica,3.0,1.0,Friendly,El Salvador,False,Home,1967
6639,German DR,Hungary,1.0,0.0,UEFA Euro qualification,German DR,False,Home,1967
6640,Poland,Romania,0.0,0.0,Friendly,Poland,False,Draw,1967
