,team,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded,color,tot_wins,tot_losses,tot_draws,home_win_rate,away_win_rate,neutral_win_rate,tot_goal_scored,tot_goal_conceded,goal_scored_rate,goal_conceded_rate,home_goal_scored_rate,away_goal_scored_rate,neutral_goal_scored_rate,home_goal_conceded_rate,away_goal_conceded_rate,neutral_goal_conceded_rate
12,Bulgaria,685,70,21,30,19,78,115,263,134,68,61,478,301,352,96,165,91,402,599,burlywood,36.64233576642336,38.394160583941606,24.963503649635037,50.950570342205324,27.27272727272727,30.0,958,1015,1.3985401459854014,1.4817518248175183,1.817490494296578,1.3579545454545454,1.1142857142857143,1.144486692015209,0.8551136363636364,1.6428571428571428
13,Burkina Faso,394,95,30,40,25,114,125,118,63,19,36,187,110,181,33,100,48,153,300,cadetblue,31.979695431472084,40.35532994923858,27.66497461928934,53.38983050847458,18.23204419889503,31.57894736842105,454,535,1.1522842639593909,1.3578680203045685,1.5847457627118644,1.0331491712707181,1.2,0.9322033898305084,0.6077348066298343,1.3157894736842106
14,Cameroon,540,187,76,53,58,244,205,146,93,15,38,265,98,207,64,69,74,231,255,chartreuse,43.148148148148145,25.37037037037037,31.48148148148148,63.6986301369863,30.917874396135264,40.64171122994652,740,558,1.3703703703703705,1.0333333333333334,1.8150684931506849,1.2801932367149758,1.304812834224599,0.6712328767123288,0.47342995169082125,1.0962566844919786
15,Canada,392,104,45,35,24,168,118,118,55,41,22,167,140,170,43,86,41,148,273,chocolate,36.47959183673469,41.3265306122449,22.193877551020407,46.61016949152542,25.294117647058822,43.269230769230774,483,531,1.2321428571428572,1.3545918367346939,1.4152542372881356,0.9823529411764705,1.6153846153846154,1.1864406779661016,0.8235294117647058,1.1346153846153846
16,Chile,776,206,70,92,44,271,328,291,165,68,58,580,319,279,60,155,64,252,470,coral,38.01546391752577,40.59278350515464,21.391752577319586,56.70103092783505,21.50537634408602,33.980582524271846,1103,1117,1.4213917525773196,1.4394329896907216,1.993127147766323,2.078853046594982,1.3155339805825244,1.0962199312714778,1.1433691756272402,1.5922330097087378
17,China PR,599,177,88,53,36,353,187,227,136,42,49,489,224,195,66,79,50,247,244,cornflowerblue,48.41402337228715,29.04841402337229,22.537562604340565,59.91189427312775,33.84615384615385,49.717514124293785,1089,655,1.8180300500834725,1.0934891485809684,2.154185022026432,2.5076923076923077,1.9943502824858756,0.986784140969163,1.1487179487179486,1.0564971751412429
18,Colombia,564,202,82,69,51,253,268,159,83,41,35,241,140,203,53,80,70,198,260,cornsilk,38.652482269503544,33.687943262411345,27.659574468085108,52.20125786163522,26.108374384236456,40.5940594059406,692,668,1.2269503546099292,1.1843971631205674,1.5157232704402517,1.187192118226601,1.2524752475247525,0.8805031446540881,0.6896551724137931,1.3267326732673268
19,Congo,379,73,32,27,14,101,93,145,68,36,41,221,148,161,30,88,43,155,276,crimson,34.300791556728235,39.84168865435356,25.857519788918204,46.89655172413793,18.633540372670808,43.83561643835616,477,517,1.2585751978891822,1.3641160949868074,1.5241379310344827,1.3726708074534162,1.3835616438356164,1.0206896551724138,0.9192546583850931,1.273972602739726
20,Costa Rica,618,185,83,56,46,316,212,202,127,29,46,433,156,231,51,115,65,248,360,cyan,42.23300970873786,32.362459546925564,25.40453074433657,62.87128712871287,22.07792207792208,44.86486486486487,997,728,1.6132686084142396,1.1779935275080906,2.1435643564356437,1.8744588744588744,1.7081081081081082,0.7722772277227723,0.6753246753246753,1.145945945945946
21,Croatia,336,58,26,19,13,87,67,134,89,13,32,289,101,144,60,41,43,205,178,darkblue,52.083333333333336,21.726190476190478,26.190476190476193,66.4179104477612,41.66666666666667,44.827586206896555,581,346,1.7291666666666667,1.0297619047619047,2.156716417910448,2.0069444444444446,1.5,0.753731343283582,0.7013888888888888,1.1551724137931034
22,Cyprus,375,7,1,4,2,4,12,208,56,108,44,228,350,160,14,130,16,93,457,darkcyan,18.933333333333334,64.53333333333333,16.53333333333333,26.923076923076923,8.75,14.285714285714285,325,819,0.8666666666666667,2.184,1.0961538461538463,1.425,0.5714285714285714,1.6826923076923077,2.1875,1.7142857142857142
23,Czech Republic,315,53,25,21,7,83,69,124,84,24,16,279,100,138,60,40,38,198,144,darkgoldenrod,53.65079365079365,26.984126984126984,19.365079365079367,67.74193548387096,43.47826086956522,47.16981132075472,560,313,1.7777777777777777,0.9936507936507937,2.25,2.0217391304347827,1.5660377358490567,0.8064516129032258,0.7246376811594203,1.3018867924528301
24,Czechoslovakia,497,45,16,20,9,64,65,194,122,27,45,484,223,258,85,114,59,369,402,darkgray,44.8692152917505,32.3943661971831,22.736418511066397,62.88659793814433,32.945736434108525,35.55555555555556,917,690,1.8450704225352113,1.3883299798792756,2.4948453608247423,1.875968992248062,1.4222222222222223,1.1494845360824741,0.8643410852713178,1.4444444444444444
25,Côte d'Ivoire,571,177,84,50,43,266,200,191,133,18,40,415,141,203,67,74,62,232,249,darkgreen,49.73730297723292,24.86865148861646,25.39404553415061,69.63350785340315,33.004926108374384,47.45762711864407,913,590,1.5989492119089317,1.0332749562171628,2.1727748691099475,2.044334975369458,1.502824858757062,0.7382198952879581,0.6945812807881774,1.1299435028248588
26,Denmark,814,67,26,24,17,93,89,380,213,92,75,843,458,367,129,157,81,523,571,darkgrey,45.20884520884521,33.53808353808354,21.253071253071255,56.05263157894736,35.14986376021799,38.80597014925373,1459,1118,1.7923832923832923,1.3734643734643734,2.218421052631579,2.2970027247956404,1.3880597014925373,1.2052631578947368,1.2479564032697548,1.328358208955224
27,Ecuador,527,174,37,91,46,196,338,167,89,37,41,288,175,186,31,112,43,161,347,darkkhaki,29.79127134724858,45.54079696394687,24.667931688804554,53.293413173652695,16.666666666666664,21.26436781609195,645,860,1.223908918406072,1.6318785578747628,1.7245508982035929,1.5483870967741935,1.1264367816091954,1.0479041916167664,0.9408602150537635,1.9425287356321839
28,Egypt,636,177,86,50,41,307,179,254,167,43,44,521,201,205,58,74,73,199,262,darkmagenta,48.89937106918239,26.257861635220124,24.842767295597483,65.74803149606299,28.292682926829265,48.58757062146893,1027,642,1.6147798742138364,1.009433962264151,2.0511811023622046,2.5414634146341464,1.734463276836158,0.7913385826771654,0.9804878048780488,1.0112994350282485
29,El Salvador,514,207,64,92,51,217,296,152,85,41,26,312,176,155,25,95,35,109,276,darkolivegreen,33.85214007782101,44.3579766536965,21.78988326848249,55.92105263157895,16.129032258064516,30.917874396135264,638,748,1.2412451361867705,1.4552529182879377,2.0526315789473686,2.0129032258064514,1.0483091787439613,1.1578947368421053,1.135483870967742,1.429951690821256
30,England,1029,108,42,33,33,151,112,461,298,63,100,1107,399,460,247,101,112,985,490,darkorange,57.04567541302236,19.14480077745384,23.809523809523807,64.64208242950107,53.69565217391305,38.88888888888889,2243,1001,2.1797862001943633,0.9727891156462585,2.401301518438178,2.4065217391304348,1.3981481481481481,0.8655097613882863,0.8673913043478261,1.037037037037037
31,Estonia,494,50,11,24,15,55,96,210,69,89,52,247,291,234,43,148,43,193,489,darkorchid,24.898785425101213,52.834008097166,22.267206477732792,32.857142857142854,18.37606837606838,22.0,495,876,1.0020242914979758,1.7732793522267207,1.1761904761904762,1.0555555555555556,1.1,1.3857142857142857,1.2435897435897436,1.92
32,Ethiopia,366,79,24,36,19,106,128,168,85,38,45,283,149,119,25,78,16,125,260,darkred,36.6120218579235,41.53005464480874,21.85792349726776,50.595238095238095,21.008403361344538,30.37974683544304,514,537,1.4043715846994536,1.4672131147540983,1.6845238095238095,2.3781512605042017,1.3417721518987342,0.8869047619047619,1.2521008403361344,1.620253164556962
33,Faroe Islands,237,25,10,13,2,38,52,102,23,65,14,100,223,110,11,88,11,61,297,darksalmon,18.565400843881857,70.042194092827,11.39240506329114,22.54901960784314,10.0,40.0,199,572,0.8396624472573839,2.413502109704641,0.9803921568627451,0.9090909090909091,1.52,2.1862745098039214,2.0272727272727273,2.08
34,Finland,761,48,18,20,10,51,52,312,102,149,61,462,619,401,77,239,85,380,914,darkseagreen,25.88699080157687,53.613666228646515,20.49934296977661,32.69230769230769,19.201995012468828,37.5,893,1585,1.173455978975033,2.082785808147175,1.4807692307692308,1.1521197007481296,1.0625,1.983974358974359,1.5436408977556109,1.0833333333333333
35,France,857,96,46,26,24,157,112,440,258,94,88,889,472,321,124,126,71,483,531,darkslateblue,49.941656942823805,28.70478413068845,21.353558926487747,58.63636363636363,38.62928348909657,47.91666666666667,1529,1115,1.7841306884480748,1.3010501750291714,2.0204545454545455,2.769470404984424,1.6354166666666667,1.0727272727272728,1.470404984423676,1.1666666666666667
36,Gabon,362,84,25,28,31,101,101,153,75,30,48,213,114,125,26,73,26,105,194,darkslategray,34.806629834254146,36.187845303867405,29.005524861878452,49.01960784313725,20.8,29.761904761904763,419,409,1.1574585635359116,1.1298342541436464,1.392156862745098,1.704,1.2023809523809523,0.7450980392156863,0.912,1.2023809523809523
37,Germany,967,151,84,34,33,288,182,426,267,71,88,1093,448,390,212,99,79,778,491,darkslategrey,58.221302998965875,21.09617373319545,20.682523267838675,62.676056338028175,54.35897435897436,55.62913907284768,2159,1121,2.232678386763185,1.1592554291623578,2.5657276995305165,2.8025641025641024,1.9072847682119205,1.051643192488263,1.1487179487179486,1.205298013245033
38,Ghana,606,193,93,50,50,274,186,174,113,16,45,379,126,239,82,91,66,328,308,darkturquoise,47.524752475247524,25.90759075907591,26.567656765676567,64.9425287356322,34.30962343096235,48.18652849740933,981,620,1.618811881188119,1.023102310231023,2.17816091954023,1.5857740585774058,1.4196891191709844,0.7241379310344828,0.5271966527196653,0.9637305699481865
