,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year,continent
37664,Uganda,Malawi,2.0,0.0,CECAFA Cup,Ethiopia,True,Home,2015,Africa
37665,Rwanda,Kenya,0.0,0.0,CECAFA Cup,Ethiopia,True,Draw,2015,Africa
37666,South Sudan,Sudan,0.0,0.0,CECAFA Cup,Ethiopia,True,Draw,2015,Africa
37667,Ethiopia,Uganda,0.0,0.0,CECAFA Cup,Ethiopia,False,Draw,2015,Africa
37668,Rwanda,Sudan,1.0,1.0,CECAFA Cup,Ethiopia,True,Draw,2015,Africa
37669,Ethiopia,Sudan,1.0,1.0,CECAFA Cup,Ethiopia,False,Draw,2015,Africa
37670,Uganda,Rwanda,1.0,0.0,CECAFA Cup,Ethiopia,True,Home,2015,Africa
37671,Nicaragua,Cuba,5.0,0.0,Friendly,Nicaragua,False,Home,2015,America
37672,Nicaragua,Cuba,1.0,0.0,Friendly,Nicaragua,False,Home,2015,America
37673,Honduras,Cuba,2.0,0.0,Friendly,Honduras,False,Home,2015,America
37674,Bangladesh,Nepal,1.0,0.0,Friendly,Bangladesh,False,Home,2015,Asia
37675,Nepal,Sri Lanka,0.0,1.0,SAFF Cup,India,True,Away,2015,Asia
37676,Afghanistan,Bangladesh,4.0,0.0,SAFF Cup,India,True,Home,2015,Asia
37677,Maldives,Bhutan,3.0,1.0,SAFF Cup,India,True,Home,2015,Asia
37678,India,Sri Lanka,2.0,0.0,SAFF Cup,India,False,Home,2015,Asia
37679,Bangladesh,Maldives,1.0,3.0,SAFF Cup,India,True,Away,2015,Asia
37680,Bhutan,Afghanistan,0.0,3.0,SAFF Cup,India,True,Away,2015,Asia
37681,Martinique,Guadeloupe,2.0,0.0,Friendly,Martinique,False,Home,2015,America
37682,Catalonia,Basque Country,0.0,1.0,Friendly,Spain,False,Away,2015,Europe
37683,India,Nepal,4.0,1.0,SAFF Cup,India,False,Home,2015,Asia
37684,Afghanistan,Maldives,4.0,1.0,SAFF Cup,India,True,Home,2015,Asia
37685,Bhutan,Bangladesh,0.0,3.0,SAFF Cup,India,True,Away,2015,Asia
37686,Afghanistan,Sri Lanka,5.0,0.0,SAFF Cup,India,True,Home,2015,Asia
37687,India,Maldives,3.0,2.0,SAFF Cup,India,False,Home,2015,Asia
37688,India,Afghanistan,2.0,1.0,SAFF Cup,India,False,Home,2016,Asia
37689,Rwanda,Cameroon,1.0,1.0,Friendly,Rwanda,False,Draw,2016,Africa
37690,Sweden,Estonia,1.0,1.0,Friendly,United Arab Emirates,True,Draw,2016,Asia
37691,Bangladesh,Sri Lanka,4.0,2.0,Friendly,Bangladesh,False,Home,2016,Asia
37692,Trinidad and Tobago,Haiti,0.0,1.0,Copa América qualification,Panama,True,Away,2016,America
37693,Panama,Cuba,4.0,0.0,Copa América qualification,Panama,False,Home,2016,America
37694,Rwanda,Congo DR,1.0,0.0,Friendly,Rwanda,False,Home,2016,Africa
37695,Sweden,Finland,3.0,0.0,Friendly,United Arab Emirates,True,Home,2016,Asia
37696,Maldives,Cambodia,3.0,2.0,Friendly,Bangladesh,True,Home,2016,Asia
37697,Finland,Iceland,0.0,1.0,Friendly,United Arab Emirates,True,Away,2016,Asia
37698,Nepal,Sri Lanka,1.0,0.0,Friendly,Bangladesh,True,Home,2016,Asia
37699,Uganda,Cameroon,0.0,0.0,Friendly,Uganda,False,Draw,2016,Africa
37700,Bangladesh,Nepal,0.0,0.0,Friendly,Bangladesh,False,Draw,2016,Asia
37701,Gabon,Morocco,0.0,0.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37702,Rwanda,Côte d'Ivoire,1.0,0.0,African Nations Championship,Rwanda,False,Home,2016,Africa
37703,United Arab Emirates,Iceland,2.0,1.0,Friendly,United Arab Emirates,False,Home,2016,Asia
37704,Angola,Cameroon,0.0,1.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37705,Congo DR,Ethiopia,3.0,0.0,African Nations Championship,Rwanda,True,Home,2016,Africa
37706,Nigeria,Niger,4.0,1.0,African Nations Championship,Rwanda,True,Home,2016,Africa
37707,Tunisia,Guinea,2.0,2.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37708,Maldives,Nepal,1.0,4.0,Friendly,Bangladesh,True,Away,2016,Asia
37709,Mali,Uganda,2.0,2.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37710,Zimbabwe,Zambia,0.0,1.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37711,Morocco,Côte d'Ivoire,0.0,1.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37712,Rwanda,Gabon,2.0,1.0,African Nations Championship,Rwanda,False,Home,2016,Africa
37713,Cameroon,Ethiopia,0.0,0.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37714,Congo DR,Angola,4.0,2.0,African Nations Championship,Rwanda,True,Home,2016,Africa
37715,Niger,Guinea,2.0,2.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37716,Tunisia,Nigeria,1.0,1.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37717,Uganda,Zambia,0.0,1.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37718,Zimbabwe,Mali,0.0,1.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37719,Côte d'Ivoire,Gabon,4.0,1.0,African Nations Championship,Rwanda,True,Home,2016,Africa
37720,Rwanda,Morocco,1.0,4.0,African Nations Championship,Rwanda,False,Away,2016,Africa
37721,Cameroon,Congo DR,3.0,1.0,African Nations Championship,Rwanda,True,Home,2016,Africa
37722,Ethiopia,Angola,1.0,2.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37723,Guinea,Nigeria,1.0,0.0,African Nations Championship,Rwanda,True,Home,2016,Africa
37724,Niger,Tunisia,0.0,5.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37725,Egypt,Jordan,0.0,1.0,Friendly,Egypt,False,Away,2016,Africa
37726,Uganda,Zimbabwe,1.0,1.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37727,Zambia,Mali,0.0,0.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37728,Egypt,Libya,2.0,0.0,Friendly,Egypt,False,Home,2016,Africa
37729,Cameroon,Côte d'Ivoire,0.0,3.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37730,Rwanda,Congo DR,1.0,2.0,African Nations Championship,Rwanda,False,Away,2016,Africa
37731,Tunisia,Mali,1.0,2.0,African Nations Championship,Rwanda,True,Away,2016,Africa
37732,USA,Iceland,3.0,2.0,Friendly,USA,False,Home,2016,America
37733,Zambia,Guinea,0.0,0.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37734,Congo DR,Guinea,1.0,1.0,African Nations Championship,Rwanda,True,Draw,2016,Africa
37735,Mali,Côte d'Ivoire,1.0,0.0,African Nations Championship,Rwanda,True,Home,2016,Africa
37736,Bahrain,Lebanon,2.0,0.0,Friendly,Bahrain,False,Home,2016,Asia
37737,Guadeloupe,Martinique,1.0,1.0,Friendly,Guadeloupe,False,Draw,2016,America
37738,Congo DR,Mali,3.0,0.0,African Nations Championship,Rwanda,True,Home,2016,Africa
37739,Guinea,Côte d'Ivoire,1.0,2.0,African Nations Championship,Rwanda,True,Away,2016,Africa
