,team,home_matches,away_matches,tot,home_win,away_win,home_draw,away_draw,home_loss,away_loss,home_win_penalty,home_loss_penalty,away_win_penalty,away_loss_penalty
261,Artsakh,7,4,11,4,2,1,1,2,1,0,0,0,0
262,Tamil Eelam,7,10,17,3,3,0,0,4,7,0,0,0,0
263,South Ossetia,7,7,14,1,3,2,1,4,3,0,0,0,0
264,Galicia,7,2,9,3,1,3,0,1,1,0,0,0,0
265,Alderney,7,12,19,0,3,0,0,7,9,0,0,0,0
266,Mayotte,6,12,18,1,2,2,3,3,7,0,0,0,0
267,Saarland,6,3,9,0,1,2,0,4,2,0,0,0,0
268,Kárpátalja,5,5,10,3,2,2,2,0,1,0,0,0,0
269,Kiribati,5,6,11,0,0,1,0,4,6,0,0,0,0
270,Chagos Islands,5,6,11,0,1,1,0,4,5,0,0,0,0
271,Yorkshire,5,2,7,4,1,1,0,0,1,0,0,0,0
272,Western Armenia,5,11,16,1,4,0,4,4,3,0,0,0,0
273,North Vietnam,5,19,24,3,4,0,3,2,12,0,0,0,0
274,Tibet,4,9,13,0,0,1,0,3,9,0,0,0,0
275,County of Nice,4,5,9,2,4,1,0,1,1,0,0,0,0
276,Canary Islands,4,0,4,3,0,0,0,1,0,0,0,0,0
277,Monaco,4,8,12,3,2,1,2,0,4,0,0,0,0
278,Republic of St. Pauli,4,0,4,1,0,1,0,2,0,0,0,0,0
279,Darfur,4,3,7,0,0,0,0,4,3,0,0,0,0
280,Panjab,4,8,12,1,4,2,1,1,3,0,0,0,0
281,Timor-Leste,3,6,9,1,0,0,1,2,5,0,0,0,0
282,Wallis Islands and Futuna,3,21,24,2,3,0,0,1,18,0,0,0,0
283,Western Sahara,3,2,5,2,0,0,0,1,2,0,0,0,0
284,Gozo,3,3,6,1,0,0,0,2,3,0,0,0,0
285,Arameans Suryoye,3,7,10,1,4,1,1,1,2,0,0,0,0
286,Găgăuzia,3,0,3,0,0,1,0,2,0,0,0,0,0
287,Parishes of Jersey,2,1,3,2,0,0,0,0,1,0,0,0,0
288,Manchukuo,2,1,3,0,0,0,0,2,1,0,0,0,0
289,Matabeleland,2,3,5,1,1,1,0,0,2,0,0,0,0
290,Yemen DPR,2,22,24,1,4,0,3,1,15,0,0,0,0
