,team,confederation,games,home_games,away_games,neutral_games,wins,home_wins,away_wins,neutral_wins,defeats,home_defeats,away_defeats,neutral_defeats,draws,home_draws,away_draws,neutral_draws,goals_scored,home_goals_scored,away_goals_scored,neutral_goals_scored,goals_conceded,home_goals_conceded,away_goals_conceded,neutral_goals_conceded
133,New Zealand,OFC,341,110,156,75,132,59,49,24,147,31,78,38,62,20,29,13,566,253,213,100,543,154,271,118
134,Nicaragua,CONCACAF,158,32,65,61,29,11,8,10,114,16,52,46,15,5,5,5,147,37,49,61,440,44,201,195
135,Niger,CAF,205,84,86,35,49,37,4,8,107,24,63,20,49,23,19,7,186,110,40,36,340,101,181,58
136,Nigeria,CAF,567,180,208,179,265,121,64,80,139,13,71,55,163,46,73,44,843,376,220,247,555,110,254,191
137,North Macedonia,UEFA,250,116,109,25,74,48,19,7,113,45,58,10,63,23,32,8,294,164,109,21,340,136,174,30
138,Northern Ireland,UEFA,653,252,366,35,166,97,62,7,337,100,218,19,150,55,86,9,681,328,320,33,1231,351,824,56
139,Norway,UEFA,797,384,372,41,294,160,119,15,321,128,179,14,182,96,74,12,1203,636,512,55,1310,525,733,52
140,Oman,AFC,452,196,110,146,166,97,29,40,172,50,55,67,114,49,26,39,581,316,96,169,569,169,181,219
141,Pakistan,AFC,164,35,60,69,29,10,4,15,109,18,46,45,26,7,10,9,134,35,39,60,410,68,170,172
142,Palestine,AFC,172,13,74,85,44,5,14,25,80,1,37,42,48,7,23,18,211,29,65,117,262,11,115,136
143,Panama,CONCACAF,435,157,172,106,135,73,34,28,192,39,103,50,108,45,35,28,512,224,144,144,679,144,333,202
144,Papua New Guinea,OFC,98,22,25,51,26,7,3,16,53,8,20,25,19,7,2,10,172,35,26,111,208,33,73,102
145,Paraguay,CONMEBOL,725,198,330,197,257,101,74,82,276,50,164,62,192,47,92,53,952,303,330,319,1044,201,549,294
146,Peru,CONMEBOL,638,237,227,174,204,104,34,66,279,82,136,61,155,51,57,47,786,335,191,260,921,285,406,230
147,Philippines,AFC,192,55,66,71,50,22,9,19,108,20,45,43,34,13,12,9,217,83,58,76,411,83,167,161
148,Poland,UEFA,803,351,357,95,345,178,115,52,252,82,152,18,206,91,90,25,1359,692,508,159,1065,389,585,91
149,Portugal,UEFA,625,290,238,97,302,166,83,53,174,50,102,22,149,74,53,22,1060,604,297,159,715,267,361,87
150,Puerto Rico,CONCACAF,89,35,42,12,21,8,9,4,50,17,27,6,18,10,6,2,95,51,29,15,190,72,89,29
151,Qatar,AFC,545,251,124,170,229,130,38,61,188,66,66,56,128,55,20,53,788,440,121,227,638,238,184,216
152,Republic of Ireland,UEFA,559,276,230,53,215,134,63,18,181,67,97,17,163,75,70,18,750,436,255,59,668,266,339,63
153,Romania,UEFA,684,286,318,80,303,171,103,29,205,54,121,30,176,61,94,21,1125,588,418,119,868,285,471,112
154,Russia,UEFA,568,143,322,103,268,80,139,49,142,25,85,32,158,38,98,22,914,264,491,159,597,139,344,114
155,Rwanda,CAF,236,92,82,62,81,39,16,26,96,26,50,20,59,27,16,16,255,123,56,76,281,85,136,60
156,Samoa,OFC,42,18,7,17,14,8,1,5,26,9,6,11,2,1,0,1,58,29,5,24,145,48,30,67
157,San Marino,UEFA,173,85,85,3,1,1,0,0,166,81,82,3,6,3,3,0,25,14,10,1,736,282,438,16
158,Saudi Arabia,AFC,623,262,112,249,297,155,33,109,184,51,50,83,142,56,29,57,976,513,127,336,666,226,157,283
159,Scotland,UEFA,787,368,376,43,374,212,150,12,244,81,144,19,169,75,82,12,1362,720,584,58,974,364,547,63
160,Senegal,CAF,534,168,196,170,236,112,45,79,156,22,95,39,142,34,56,52,696,292,175,229,512,99,259,154
