,team,confederation,games,home_games,away_games,neutral_games,wins,home_wins,away_wins,neutral_wins,defeats,home_defeats,away_defeats,neutral_defeats,draws,home_draws,away_draws,neutral_draws,goals_scored,home_goals_scored,away_goals_scored,neutral_goals_scored,goals_conceded,home_goals_conceded,away_goals_conceded,neutral_goals_conceded
127,Mozambique,CAF,293,40.27303754266212,41.979522184300336,17.747440273037544,31.399317406143346,19.453924914675767,7.167235494880546,4.778156996587031,43.68600682593857,9.556313993174061,24.2320819112628,9.897610921501707,24.914675767918087,11.262798634812286,10.580204778156997,3.0716723549488054,102.3890784982935,57.33788395904437,31.058020477815703,13.993174061433447,129.01023890784984,36.177474402730375,65.52901023890784,27.303754266211605
128,Myanmar,AFC,15,46.666666666666664,40.0,13.333333333333334,33.33333333333333,20.0,13.333333333333334,0.0,60.0,20.0,26.666666666666668,13.333333333333334,6.666666666666667,6.666666666666667,0.0,0.0,106.66666666666667,60.0,40.0,6.666666666666667,213.33333333333334,73.33333333333333,86.66666666666667,53.333333333333336
129,Namibia,CAF,234,38.46153846153847,43.58974358974359,17.94871794871795,27.350427350427353,14.957264957264957,5.982905982905983,6.41025641025641,46.58119658119658,11.11111111111111,29.059829059829063,6.41025641025641,26.06837606837607,12.393162393162394,8.547008547008547,5.128205128205128,101.7094017094017,49.14529914529914,29.914529914529915,22.64957264957265,142.73504273504273,39.743589743589745,80.76923076923077,22.22222222222222
130,Nepal,AFC,174,25.862068965517242,28.735632183908045,45.40229885057471,19.54022988505747,8.620689655172415,1.1494252873563218,9.770114942528735,64.36781609195403,10.344827586206897,24.137931034482758,29.88505747126437,16.091954022988507,6.896551724137931,3.4482758620689653,5.747126436781609,74.71264367816092,22.988505747126435,8.045977011494253,43.67816091954023,250.0,26.436781609195403,107.47126436781609,116.0919540229885
131,Netherlands,UEFA,785,47.64331210191083,40.89171974522293,11.464968152866243,50.82802547770701,27.515923566878982,17.197452229299362,6.114649681528663,26.496815286624205,9.29936305732484,14.904458598726114,2.2929936305732483,22.67515923566879,10.828025477707007,8.789808917197451,3.0573248407643314,206.62420382165604,116.30573248407643,69.42675159235668,20.891719745222932,122.67515923566879,49.42675159235669,62.92993630573248,10.318471337579618
132,New Caledonia,OFC,184,38.04347826086957,20.108695652173914,41.84782608695652,52.71739130434783,23.369565217391305,4.891304347826087,24.456521739130434,35.32608695652174,11.41304347826087,11.41304347826087,12.5,11.956521739130435,3.260869565217391,3.804347826086957,4.891304347826087,250.5434782608696,100.0,30.434782608695656,120.1086956521739,141.84782608695653,49.45652173913043,40.21739130434783,52.17391304347826
133,New Zealand,OFC,341,32.25806451612903,45.74780058651026,21.994134897360702,38.70967741935484,17.302052785923756,14.369501466275661,7.038123167155426,43.10850439882698,9.090909090909092,22.87390029325513,11.143695014662756,18.181818181818183,5.865102639296188,8.504398826979472,3.812316715542522,165.98240469208213,74.19354838709677,62.4633431085044,29.32551319648094,159.23753665689148,45.16129032258064,79.47214076246334,34.60410557184751
134,Nicaragua,CONCACAF,158,20.253164556962027,41.139240506329116,38.607594936708864,18.354430379746837,6.962025316455696,5.063291139240507,6.329113924050633,72.15189873417721,10.126582278481013,32.91139240506329,29.11392405063291,9.49367088607595,3.1645569620253164,3.1645569620253164,3.1645569620253164,93.0379746835443,23.417721518987342,31.0126582278481,38.607594936708864,278.4810126582279,27.848101265822784,127.21518987341771,123.41772151898734
135,Niger,CAF,205,40.97560975609756,41.951219512195124,17.073170731707318,23.902439024390244,18.048780487804876,1.951219512195122,3.902439024390244,52.19512195121951,11.707317073170733,30.73170731707317,9.75609756097561,23.902439024390244,11.219512195121952,9.268292682926829,3.414634146341464,90.73170731707317,53.65853658536586,19.51219512195122,17.560975609756095,165.85365853658536,49.26829268292683,88.29268292682927,28.292682926829265
136,Nigeria,CAF,567,31.746031746031743,36.68430335097001,31.569664902998234,46.73721340388007,21.340388007054674,11.28747795414462,14.109347442680775,24.514991181657848,2.2927689594356258,12.522045855379188,9.700176366843033,28.74779541446208,8.112874779541446,12.874779541446207,7.760141093474426,148.67724867724868,66.31393298059965,38.80070546737213,43.56261022927689,97.88359788359789,19.400352733686066,44.79717813051146,33.68606701940035
