,team,confederation,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded,color,tot_wins,tot_losses,tot_draws,home_win_rate,away_win_rate,neutral_win_rate,tot_goal_scored,tot_goal_conceded,goal_scored_rate,goal_conceded_rate,home_goal_scored_rate,away_goal_scored_rate,neutral_goal_scored_rate,home_goal_conceded_rate,away_goal_conceded_rate,neutral_goal_conceded_rate
92,Israel,UEFA,433,26,11,9,6,50,36,224,88,77,59,340,290,183,49,93,41,228,313,gainsboro,34.18013856812933,41.339491916859124,24.480369515011546,39.285714285714285,26.775956284153008,42.30769230769231,618,639,1.4272517321016167,1.4757505773672055,1.5178571428571428,1.8579234972677596,1.9230769230769231,1.2946428571428572,1.5846994535519126,1.3846153846153846
93,Italy,UEFA,816,141,61,35,45,189,154,375,252,32,91,815,277,300,124,85,91,408,350,ghostwhite,53.55392156862745,18.627450980392158,27.818627450980394,67.2,41.333333333333336,43.262411347517734,1412,781,1.7303921568627452,0.9571078431372549,2.1733333333333333,2.716666666666667,1.3404255319148937,0.7386666666666667,0.9233333333333333,1.0921985815602837
94,Jamaica,CONCACAF,535,127,41,54,32,146,181,206,109,46,51,341,190,202,52,114,36,203,365,gold,37.75700934579439,40.0,22.242990654205606,52.9126213592233,25.742574257425744,32.28346456692913,690,736,1.2897196261682242,1.3757009345794393,1.6553398058252426,1.688118811881188,1.1496062992125984,0.9223300970873787,0.9405940594059405,1.4251968503937007
95,Japan,AFC,615,215,96,68,51,397,277,254,144,54,56,489,245,146,53,60,33,180,188,goldenrod,47.642276422764226,29.593495934959353,22.76422764227642,56.69291338582677,36.3013698630137,44.651162790697676,1066,710,1.7333333333333334,1.1544715447154472,1.9251968503937007,3.3493150684931505,1.8465116279069766,0.9645669291338582,1.678082191780822,1.2883720930232558
96,Jordan,AFC,397,115,43,37,35,147,123,155,66,37,52,213,119,127,29,65,33,113,190,gray,34.76070528967254,35.012594458438286,30.22670025188917,42.58064516129032,22.83464566929134,37.391304347826086,473,432,1.1914357682619647,1.0881612090680102,1.3741935483870968,1.6771653543307086,1.2782608695652173,0.7677419354838709,0.937007874015748,1.0695652173913044
98,Kenya,CAF,601,142,52,57,33,188,197,230,117,53,60,358,263,229,41,126,62,220,390,green,34.94176372712147,39.267886855241265,25.79034941763727,50.8695652173913,17.903930131004365,36.61971830985916,766,850,1.2745424292845258,1.4143094841930117,1.5565217391304347,1.5633187772925765,1.323943661971831,1.1434782608695653,1.148471615720524,1.3873239436619718
100,Korea Republic,AFC,822,326,159,78,89,557,331,293,181,45,67,580,192,203,90,57,56,304,225,greenyellow,52.311435523114355,21.897810218978105,25.790754257907544,61.774744027303754,44.33497536945813,48.77300613496933,1441,748,1.7530413625304135,0.9099756690997567,1.9795221843003412,2.857142857142857,1.7085889570552146,0.6552901023890785,0.9458128078817734,1.0153374233128833
102,Kuwait,AFC,560,197,89,53,55,310,198,222,103,59,60,370,208,141,38,63,40,157,204,grey,41.07142857142857,31.25,27.67857142857143,46.3963963963964,26.95035460992908,45.17766497461929,837,610,1.4946428571428572,1.0892857142857142,1.6666666666666667,2.624113475177305,1.5736040609137056,0.9369369369369369,1.475177304964539,1.0050761421319796
104,Latvia,UEFA,408,51,18,19,14,64,61,160,58,64,38,211,232,197,41,111,45,223,383,honeydew,28.676470588235293,47.549019607843135,23.774509803921568,36.25,20.812182741116754,35.294117647058826,498,676,1.2205882352941178,1.6568627450980393,1.31875,1.0710659898477157,1.2549019607843137,1.45,1.1776649746192893,1.196078431372549
105,Lebanon,AFC,275,66,16,36,14,73,116,115,40,34,41,173,139,94,19,54,21,71,174,hotpink,27.27272727272727,45.09090909090909,27.636363636363637,34.78260869565217,20.212765957446805,24.242424242424242,317,429,1.1527272727272728,1.56,1.5043478260869565,1.8404255319148937,1.106060606060606,1.208695652173913,1.4787234042553192,1.7575757575757576
107,Liberia,CAF,250,30,8,19,3,30,41,116,51,29,36,133,103,104,10,76,18,59,206,indianred,27.6,49.6,22.8,43.96551724137931,9.615384615384617,26.666666666666668,222,350,0.888,1.4,1.146551724137931,1.2788461538461537,1.0,0.8879310344827587,0.9903846153846154,1.3666666666666667
108,Libya,CAF,336,83,32,23,28,121,79,125,71,22,32,215,114,128,17,85,26,82,214,indigo,35.714285714285715,38.69047619047619,25.595238095238095,56.8,13.28125,38.55421686746988,418,407,1.244047619047619,1.2113095238095237,1.72,1.6796875,1.4578313253012047,0.912,0.890625,0.9518072289156626
110,Lithuania,UEFA,379,49,16,21,12,60,84,137,49,60,28,159,190,193,39,124,30,177,412,ivory,27.440633245382585,54.089709762532976,18.46965699208443,35.76642335766424,20.207253886010363,32.6530612244898,396,686,1.0448548812664908,1.8100263852242744,1.1605839416058394,0.8238341968911918,1.2244897959183674,1.3868613138686132,0.9844559585492227,1.7142857142857142
111,Luxembourg,UEFA,404,13,2,10,1,9,31,222,26,162,34,156,512,169,10,144,15,83,539,khaki,9.405940594059405,78.21782178217822,12.376237623762377,11.711711711711711,5.9171597633136095,15.384615384615385,248,1082,0.6138613861386139,2.6782178217821784,0.7027027027027027,0.9230769230769231,0.6923076923076923,2.3063063063063063,3.029585798816568,2.3846153846153846
114,Malawi,CAF,535,98,39,27,32,123,99,251,109,68,74,340,249,186,30,106,50,150,351,lavender,33.271028037383175,37.570093457943926,29.1588785046729,43.42629482071713,16.129032258064516,39.795918367346935,613,699,1.1457943925233645,1.3065420560747663,1.3545816733067728,1.8279569892473118,1.2551020408163265,0.9920318725099602,1.3387096774193548,1.010204081632653
115,Malaysia,AFC,512,172,66,60,46,282,256,185,72,61,52,291,231,155,29,92,34,150,308,lavenderblush,32.6171875,41.6015625,25.78125,38.91891891891892,18.70967741935484,38.372093023255815,723,795,1.412109375,1.552734375,1.572972972972973,1.8774193548387097,1.6395348837209303,1.2486486486486486,1.4903225806451612,1.4883720930232558
117,Mali,CAF,503,159,65,53,41,213,181,154,88,25,41,248,117,190,47,95,48,178,279,lawngreen,39.761431411530815,34.39363817097416,25.844930417495032,57.14285714285714,24.736842105263158,40.88050314465409,639,577,1.2703777335984094,1.1471172962226641,1.6103896103896105,1.305263157894737,1.3396226415094339,0.7597402597402597,0.6157894736842106,1.1383647798742138
118,Malta,UEFA,404,24,6,15,3,20,55,216,35,134,47,175,383,164,10,134,20,61,478,lemonchiffon,12.623762376237623,70.04950495049505,17.326732673267326,16.203703703703702,6.097560975609756,25.0,256,916,0.6336633663366337,2.267326732673267,0.8101851851851852,1.0670731707317074,0.8333333333333334,1.7731481481481481,2.3353658536585367,2.2916666666666665
121,Mexico,CONCACAF,866,383,193,103,87,624,407,256,173,27,56,597,187,227,75,94,58,267,313,lightblue,50.92378752886836,25.86605080831409,23.21016166281755,67.578125,33.03964757709251,50.391644908616186,1488,907,1.71824480369515,1.0473441108545034,2.33203125,2.6299559471365637,1.629242819843342,0.73046875,0.8237885462555066,1.0626631853785902
126,Morocco,CAF,534,122,51,31,40,162,105,233,147,31,55,412,137,179,50,65,64,171,198,lightcoral,46.441947565543074,23.782771535580522,29.775280898876407,63.0901287553648,27.932960893854748,41.80327868852459,745,440,1.395131086142322,0.8239700374531835,1.7682403433476395,2.3016759776536313,1.3278688524590163,0.5879828326180258,0.7653631284916201,0.860655737704918
127,Mozambique,CAF,301,57,15,32,10,44,86,118,57,28,33,168,106,126,21,74,31,94,201,lightcyan,30.89700996677741,44.518272425249165,24.58471760797342,48.30508474576271,16.666666666666664,26.31578947368421,306,393,1.0166112956810631,1.3056478405315615,1.423728813559322,1.3333333333333333,0.7719298245614035,0.8983050847457628,0.8412698412698413,1.5087719298245614
131,Netherlands,UEFA,791,90,48,18,24,164,81,374,216,73,85,913,388,327,136,120,71,554,505,lightgoldenrodyellow,50.56890012642224,26.67509481668774,22.756005056890015,57.75401069518716,41.59021406727829,53.333333333333336,1631,974,2.061946902654867,1.2313527180783819,2.4411764705882355,2.7920489296636086,1.8222222222222222,1.0374331550802138,1.1865443425076452,0.9
133,New Zealand,OFC,353,81,28,40,13,113,127,110,59,31,20,253,154,162,53,79,30,230,280,lightgray,39.6600566572238,42.492917847025495,17.847025495750707,53.63636363636364,32.71604938271605,34.5679012345679,596,561,1.688385269121813,1.5892351274787535,2.3,1.5617283950617284,1.3950617283950617,1.4,0.9506172839506173,1.5679012345679013
136,Nigeria,CAF,576,179,80,55,44,247,191,180,121,13,46,376,110,217,66,76,75,229,272,lightgreen,46.35416666666667,25.0,28.645833333333332,67.22222222222223,30.414746543778804,44.6927374301676,852,573,1.4791666666666667,0.9947916666666666,2.088888888888889,1.7327188940092166,1.3798882681564246,0.6111111111111112,0.5069124423963134,1.0670391061452513
137,North Macedonia,UEFA,250,25,7,10,8,21,30,116,48,45,23,164,136,109,19,58,32,109,174,lightgrey,29.599999999999998,45.2,25.2,41.37931034482759,17.431192660550458,28.000000000000004,294,340,1.176,1.36,1.4137931034482758,1.5045871559633028,0.84,1.1724137931034482,1.2477064220183487,1.2
138,Northern Ireland,UEFA,655,36,7,20,9,33,58,252,97,100,55,328,351,367,62,219,86,320,825,lightpink,25.34351145038168,51.7557251908397,22.900763358778626,38.492063492063494,16.893732970027248,19.444444444444446,681,1234,1.0396946564885496,1.883969465648855,1.3015873015873016,0.8937329700272479,0.9166666666666666,1.3928571428571428,0.9564032697547684,1.6111111111111112
139,Norway,UEFA,803,44,15,16,13,60,61,384,160,128,96,636,525,375,120,181,74,513,739,lightsalmon,36.73723536737236,40.473225404732254,22.789539227895393,41.66666666666667,32.0,34.090909090909086,1209,1325,1.5056039850560399,1.6500622665006226,1.65625,1.696,1.3636363636363635,1.3671875,1.4,1.3863636363636365
