,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent
179,1906-03-03,159.0,203.0,0.0,2.0,17.0,504.0,189.0,0.0,2.0,1906,3.0
180,1906-03-17,138.0,159.0,0.0,1.0,17.0,487.0,179.0,0.0,2.0,1906,3.0
181,1906-03-19,203.0,61.0,0.0,1.0,17.0,319.0,242.0,0.0,2.0,1906,3.0
182,1906-04-01,86.0,52.0,1.0,1.0,57.0,280.0,99.0,0.0,0.0,1906,3.0
183,1906-04-02,203.0,138.0,4.0,4.0,17.0,1800.0,242.0,0.0,0.0,1906,3.0
184,1906-04-07,159.0,61.0,2.0,1.0,17.0,592.0,189.0,0.0,1.0,1906,3.0
185,1906-04-22,69.0,19.0,0.0,5.0,57.0,1413.0,76.0,0.0,2.0,1906,3.0
186,1906-04-29,19.0,131.0,5.0,0.0,57.0,81.0,19.0,0.0,1.0,1906,3.0
187,1906-05-13,131.0,19.0,2.0,3.0,57.0,1404.0,152.0,0.0,2.0,1906,3.0
188,1906-08-15,198.0,8.0,0.0,2.0,37.0,1075.0,235.0,0.0,2.0,1906,1.0
189,1906-10-07,52.0,86.0,4.0,4.0,57.0,1324.0,24.0,0.0,0.0,1906,3.0
190,1906-10-21,8.0,198.0,2.0,1.0,38.0,281.0,7.0,0.0,1.0,1906,1.0
191,1906-11-04,86.0,12.0,3.0,1.0,57.0,280.0,99.0,0.0,1.0,1906,3.0
192,1907-02-16,61.0,138.0,1.0,0.0,17.0,916.0,67.0,0.0,1.0,1907,3.0
193,1907-02-23,138.0,203.0,2.0,3.0,17.0,184.0,179.0,0.0,2.0,1907,3.0
194,1907-03-04,203.0,159.0,1.0,0.0,17.0,1800.0,242.0,0.0,1.0,1907,3.0
195,1907-03-16,159.0,138.0,3.0,0.0,17.0,592.0,189.0,0.0,1.0,1907,3.0
196,1907-03-18,61.0,203.0,1.0,1.0,17.0,930.0,67.0,0.0,0.0,1907,3.0
197,1907-04-06,61.0,159.0,1.0,1.0,17.0,1147.0,67.0,0.0,0.0,1907,3.0
198,1907-04-07,86.0,52.0,5.0,2.0,57.0,280.0,99.0,0.0,1.0,1907,3.0
199,1907-04-14,19.0,131.0,1.0,3.0,57.0,81.0,19.0,0.0,2.0,1907,3.0
200,1907-04-21,19.0,69.0,1.0,2.0,57.0,274.0,19.0,0.0,2.0,1907,3.0
201,1907-05-05,12.0,86.0,3.0,1.0,57.0,1744.0,11.0,0.0,1.0,1907,3.0
