,team,matches,wins,losses,draws,goal_scored,goal_conceded
117,Guinea-Bissau,149.0,42.0,76.0,31.0,147.0,232.0
118,Guyana,269.0,82.0,133.0,54.0,338.0,470.0
120,Haiti,459.0,192.0,165.0,102.0,731.0,612.0
122,Honduras,526.0,212.0,173.0,141.0,771.0,648.0
123,Hong Kong,392.0,127.0,178.0,87.0,581.0,654.0
124,Hungary,948.0,443.0,295.0,210.0,1924.0,1413.0
125,IR Iran,506.0,279.0,99.0,128.0,949.0,404.0
126,Iceland,460.0,143.0,231.0,86.0,550.0,770.0
127,India,409.0,141.0,176.0,92.0,566.0,698.0
128,Indonesia,558.0,208.0,244.0,106.0,924.0,945.0
129,Iraq,557.0,257.0,139.0,161.0,883.0,521.0
133,Israel,439.0,153.0,180.0,106.0,636.0,643.0
134,Italy,820.0,438.0,153.0,229.0,1417.0,784.0
135,Jamaica,572.0,224.0,218.0,130.0,765.0,758.0
136,Japan,635.0,308.0,184.0,143.0,1133.0,725.0
138,Jordan,406.0,143.0,142.0,121.0,490.0,437.0
140,Kazakhstan,208.0,49.0,109.0,50.0,214.0,344.0
141,Kenya,650.0,247.0,242.0,161.0,908.0,884.0
144,Korea DPR,340.0,144.0,105.0,91.0,541.0,379.0
145,Korea Republic,868.0,458.0,188.0,222.0,1528.0,785.0
146,Kosovo,53.0,21.0,22.0,10.0,78.0,78.0
147,Kuwait,572.0,238.0,178.0,156.0,880.0,621.0
150,Laos,163.0,31.0,106.0,26.0,169.0,515.0
151,Latvia,410.0,117.0,196.0,97.0,498.0,681.0
152,Lebanon,280.0,77.0,124.0,79.0,323.0,431.0
153,Lesotho,257.0,47.0,129.0,81.0,208.0,411.0
154,Liberia,250.0,69.0,124.0,57.0,222.0,350.0
155,Libya,341.0,123.0,132.0,86.0,429.0,414.0
156,Liechtenstein,209.0,17.0,165.0,27.0,94.0,593.0
157,Lithuania,381.0,104.0,206.0,71.0,396.0,691.0
158,Luxembourg,415.0,38.0,325.0,52.0,254.0,1112.0
159,Macau,128.0,21.0,92.0,15.0,107.0,384.0
160,Madagascar,227.0,85.0,94.0,48.0,295.0,348.0
163,Malawi,574.0,200.0,207.0,167.0,685.0,729.0
164,Malaysia,606.0,211.0,245.0,150.0,910.0,929.0
165,Maldives,162.0,47.0,88.0,27.0,221.0,362.0
166,Mali,505.0,200.0,175.0,130.0,640.0,580.0
167,Malta,410.0,51.0,288.0,71.0,258.0,937.0
171,Mauritania,218.0,41.0,121.0,56.0,162.0,339.0
172,Mauritius,250.0,68.0,130.0,52.0,310.0,427.0
175,Mexico,888.0,451.0,233.0,204.0,1545.0,947.0
177,Moldova,247.0,46.0,142.0,59.0,194.0,416.0
179,Mongolia,76.0,20.0,48.0,8.0,97.0,217.0
