,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent
26974,29982,2008-02-04,Malta,Iceland,1.0,0.0,Malta International Tournament,Attard,Malta,False,Home,2008,Europe
26975,29983,2008-02-04,Tunisia,Cameroon,2.0,3.0,African Cup of Nations,Tamale,Ghana,True,Away,2008,Africa
26976,29984,2008-02-06,Armenia,Iceland,0.0,2.0,Malta International Tournament,Attard,Malta,True,Away,2008,Europe
26977,29985,2008-02-06,Aruba,Antigua and Barbuda,0.0,3.0,FIFA World Cup qualification,Oranjestad,Aruba,False,Away,2008,America
26978,29986,2008-02-06,Australia,Qatar,3.0,0.0,FIFA World Cup qualification,Melbourne,Australia,False,Home,2008,Asia
26979,29987,2008-02-06,Austria,Germany,0.0,3.0,Friendly,Vienna,Austria,False,Away,2008,Europe
26980,29989,2008-02-06,Bolivia,Peru,2.0,1.0,Friendly,La Paz,Bolivia,False,Home,2008,America
26981,29990,2008-02-06,Burundi,Rwanda,0.0,0.0,Friendly,Bujumbura,Burundi,False,Draw,2008,Africa
26982,29991,2008-02-06,Croatia,Netherlands,0.0,3.0,Friendly,Split,Croatia,False,Away,2008,Europe
26983,29992,2008-02-06,Cyprus,Ukraine,1.0,1.0,Friendly,Nicosia,Cyprus,False,Draw,2008,Europe
26984,29993,2008-02-06,Czech Republic,Poland,0.0,2.0,Friendly,Larnaca,Cyprus,True,Away,2008,Europe
26985,29994,2008-02-06,Dominica,Barbados,1.0,1.0,FIFA World Cup qualification,Roseau,Dominica,False,Draw,2008,America
26986,29995,2008-02-06,El Salvador,Anguilla,12.0,0.0,FIFA World Cup qualification,San Salvador,El Salvador,False,Home,2008,America
26987,29996,2008-02-06,England,Switzerland,2.0,1.0,Friendly,London,England,False,Home,2008,Europe
26988,29997,2008-02-06,Georgia,Latvia,1.0,3.0,Friendly,Tbilisi,Georgia,False,Away,2008,Europe
26989,29998,2008-02-06,Greece,Finland,2.0,1.0,Friendly,Nicosia,Cyprus,True,Home,2008,Europe
26990,29999,2008-02-06,Honduras,Paraguay,2.0,0.0,Friendly,San Pedro Sula,Honduras,False,Home,2008,America
26991,30000,2008-02-06,Hungary,Slovakia,1.0,1.0,Friendly,Limassol,Cyprus,True,Draw,2008,Europe
26992,30001,2008-02-06,IR Iran,Syria,0.0,0.0,FIFA World Cup qualification,Teheran,IR Iran,False,Draw,2008,Asia
26993,30002,2008-02-06,Iraq,China PR,1.0,1.0,FIFA World Cup qualification,Dubai,United Arab Emirates,True,Draw,2008,Asia
